fast_ema,slow_ema,signal_ema,min_days_between_trades,trade_size,final_value,cagr
8,40,8,8,1,1075085.7021484375,0.007269306736980674
8,40,8,8,11,1785877.9521484375,0.05973072180871908
8,40,8,8,21,2153690.6171875,0.07977189780849181
8,40,8,8,31,1802107.865234375,0.06069027465164134
8,40,8,8,41,2091147.25390625,0.07659318039172924
8,40,8,10,1,1054104.1547851562,0.005285208882546577
8,40,8,10,11,1465230.6967773438,0.038956625733472805
8,40,8,10,21,1563123.3774414062,0.04570045254834776
8,40,8,10,31,1668429.7348632812,0.05254318970164773
8,40,8,10,41,1840057.2280273438,0.06290393172597675
8,40,10,2,1,1010457.6977539062,0.001041308635149285
8,40,10,2,11,1115034.6752929688,0.010952568851998246
8,40,10,2,21,1235797.3618164062,0.021406233565873345
8,40,10,2,31,1298354.6713867188,0.02646463992136061
8,40,10,2,41,1394598.1137695312,0.03383407415019146
8,40,10,4,1,1060715.9008789062,0.005914248042268921
8,40,10,4,11,1650229.7924804688,0.05138888163660327
8,40,10,4,21,1886861.4692382812,0.06557820815597526
8,40,10,4,31,1710248.6137695312,0.05515315015730948
8,40,10,4,41,1454089.09375,0.03816356195467474
8,40,10,6,1,1035363.7465820312,0.0034827596639011027
8,40,10,6,11,1389001.2124023438,0.03341824647519154
8,40,10,6,21,1708952.5454101562,0.055073127918891185
8,40,10,6,31,1774361.2153320312,0.059045051792631975
8,40,10,6,41,1993591.59765625,0.0714599195847152
8,40,10,8,1,1037196.1982421875,0.0036602939576122484
8,40,10,8,11,1409158.1806640625,0.034908835123339976
8,40,10,8,21,1747434.0302734375,0.057426129581102936
8,40,10,8,31,1650944.0546875,0.051434398303323414
8,40,10,8,41,1794346.091796875,0.06023235388208925
8,40,10,10,1,1041250.5,0.004052087805729299
8,40,10,10,11,1381550.3828125,0.03286233311644149
8,40,10,10,21,1484412.16796875,0.040309342820520344
8,40,10,10,31,1562029.87890625,0.045627246429167156
8,40,10,10,41,1411063.7778320312,0.03504875767428972
8,40,12,2,1,1029651.5483398438,0.002927521599707994
8,40,12,2,11,1326167.0317382812,0.02864343723959606
8,40,12,2,21,1622682.5151367188,0.04961974778294165
8,40,12,2,31,1749223.4243164062,0.05753440592806558
8,40,12,2,41,1795198.9838867188,0.06028275897817581
8,40,12,4,1,1052920.5493164062,0.005172226519136736
8,40,12,4,11,1582126.0424804688,0.046965313877659565
8,40,12,4,21,1753223.7651367188,0.05777610673736744
8,40,12,4,31,1695478.7182617188,0.05423797178327283
8,40,12,4,41,1284162.5317382812,0.025336604696397425
8,40,12,6,1,1031193.6948242188,0.0030776942266277363
8,40,12,6,11,1343130.6430664062,0.029952247054017223
8,40,12,6,21,1655067.5913085938,0.05169682647981033
8,40,12,6,31,1624869.9213867188,0.04976121082305407
8,40,12,6,41,1851290.9677734375,0.06355133563213267
8,40,12,8,1,1082861.951171875,0.007995816903443309
8,40,12,8,11,1911481.462890625,0.06696105860137735
8,40,12,8,21,2015200.8876953125,0.07261616406237104
8,40,12,8,31,1617217.6591796875,0.04926557547611088
8,40,12,8,41,1383050.5478515625,0.03297447840584833
8,40,12,10,1,1068158.0537109375,0.006618084315554551
8,40,12,10,11,1587582.6064453125,0.04732598868729121
8,40,12,10,21,1526428.984375,0.04321832376064738
8,40,12,10,31,1560451.966796875,0.04552152908426654
8,40,12,10,41,1330931.1796875,0.029012524664006056
8,40,14,2,1,1015538.0424804688,0.0015436800311818821
8,40,14,2,11,1170918.4672851562,0.015910574687844292
8,40,14,2,21,1350799.5756835938,0.03053905896358744
8,40,14,2,31,1217427.5063476562,0.019877055398489052
8,40,14,2,41,1241682.2875976562,0.021891792344107985
8,40,14,4,1,1041992.9936523438,0.004123691073965485
8,40,14,4,11,1461922.9301757812,0.03872174562705277
8,40,14,4,21,1793625.5502929688,0.060189753772065036
8,40,14,4,31,1614201.1987304688,0.04906961983880076
8,40,14,4,41,1708161.8696289062,0.05502428295197315
8,40,14,6,1,1023728.5415039062,0.0023488572737431213
8,40,14,6,11,1261013.9565429688,0.02347238076036029
8,40,14,6,21,1498299.3715820312,0.041278914399133226
8,40,14,6,31,1573544.6684570312,0.04639582039213752
8,40,14,6,41,1168423.4755859375,0.01569380772472817
8,40,14,8,1,1081594.6484375,0.007877737753425373
8,40,14,8,11,1848933.20703125,0.06341575086006102
8,40,14,8,21,1990136.21875,0.07127398817534814
8,40,14,8,31,1591633.2290039062,0.04759301104359803
8,40,14,8,41,1203445.8237304688,0.01869918500985368
8,40,14,10,1,1080860.951171875,0.0078093196207638105
8,40,14,10,11,1707184.45703125,0.054963873957855736
8,40,14,10,21,1530146.96875,0.04347225084515993
8,40,14,10,31,1556277.7592773438,0.0452413999153789
8,40,14,10,41,1125748.6215820312,0.011920177715019742
8,50,6,2,1,1040620.0068359375,0.003991249353648252
